CSCH	JG05	MALA	CREN	CINC
g2020	JG24_g8865	Mal24_g8557	Cre06.g257500	g2198
g2021	JG24_g8866	Mal24_g8558	Cre06.g257450	g2196
g2022	JG24_g8867	Mal24_g8559	Cre06.g257400	g2195
g2024	JG24_g8870	Mal24_g8562	Cre06.g257300	g2193
g2025	JG24_g8871	Mal24_g8563	Cre06.g257250	g2192
g2027	JG24_g8873	Mal24_g8565	Cre06.g257150	g2190
g2030	JG24_g8876	Mal24_g17318	Cre06.g257000	g2187
g2032	JG24_g8879	Mal24_g17320	Cre06.g256750	g2186
g2042	JG24_g8885	Mal24_g17330	Cre06.g256450	g2178
g2044	JG24_g8887	Mal24_g17332	Cre06.g256400	g2176
g2047	JG24_g8890	Mal24_g17335	Cre06.g256300	g2172
g2048	JG24_g8891	Mal24_g17336	Cre06.g256250	g2171
g2049	JG24_g8892	Mal24_g17337	Cre06.g256200	g2170
g2058	JG24_g8904	Mal24_g9404	Cre06.g255400	g2157
g2065	JG24_g8908	Mal24_g9413	Cre06.g255350	g2156
g2064	JG24_g8909	Mal24_g9412	Cre06.g255300	g2155
g2063	JG24_g8910	Mal24_g9411	Cre06.g255250	g2154
g2062	JG24_g8912	Mal24_g9410	Cre06.g255200	g2153
g2084	JG24_g8923	Mal24_g9434	Cre06.g254850	g2148
g2080	JG24_g8927	Mal24_g9430	Cre06.g254650	g2145
g2077	JG24_g8931	Mal24_g9426	Cre06.g254450	g2142
g2076	JG24_g8932	Mal24_g9425	Cre06.g254400	g2141
g2075	JG24_g8933	Mal24_g9424	Cre06.g254350	g2140
g2073	JG24_g8934	Mal24_g9423	Cre06.g254150	g2138
g2070	JG24_g8938	Mal24_g9419	Cre06.g253404	g2132
g2068	JG24_g8941	Mal24_g9416	Cre06.g253300	g2130
g9858	JG24_g8946	Mal24_g6450	Cre06.g252300	g2127
g2098	JG24_g8948	Mal24_g9451	Cre06.g252401	g2125
g2099	JG24_g8949	Mal24_g9450	Cre06.g252450	g2124
g2100	JG24_g8950	Mal24_g9447	Cre06.g252650	g2113
g2097	JG24_g8954	Mal24_g9446	Cre06.g252200	g2111
g2096	JG24_g8955	Mal24_g9445	Cre06.g252150	g1548
g2113	JG24_g8958	Mal24_g9454	Cre06.g251400	g2110
g2114	JG24_g8959	Mal24_g9455	Cre06.g251450	g2109
g2115	JG24_g8960	Mal24_g9456	Cre06.g251500	g2108
g2086	JG24_g8962	Mal24_g9436	Cre06.g252700	g2123
g15213	JG24_g8966	Mal24_g8105	Cre07.g800817	g2270
g16575	JG24_g8967	Mal24_g13364	Cre06.g251750	g2134
g2089	JG24_g8968	Mal24_g9439	Cre06.g251800	g2106
g2091	JG24_g8970	Mal24_g9441	Cre06.g251900	g2115
g2093	JG24_g8972	Mal24_g9443	Cre06.g252000	g2117
g2119	JG24_g8973	Mal24_g9458	Cre06.g251650	g2105
g2120	JG24_g8974	Mal24_g9459	Cre06.g251716	g2104
g2121	JG24_g8975	Mal24_g9460	Cre06.g251350	g2103
g2125	JG24_g8980	Mal24_g9463	Cre06.g251200	g2099
g2127	JG24_g8982	Mal24_g9465	Cre06.g251150	g2094
g2128	JG24_g8983	Mal24_g9466	Cre06.g251100	g2093
g2130	JG24_g8985	Mal24_g9468	Cre06.g251000	g2091
g2131	JG24_g8986	Mal24_g9469	Cre06.g250950	g2090
g2132	JG24_g8987	Mal24_g9470	Cre06.g250902	g2089
g1182	JG24_g8990	Mal24_g9473	Cre06.g250750	g2086
g1175	JG24_g8993	Mal24_g9478	Cre06.g250500	g2081
g1174	JG24_g8994	Mal24_g9479	Cre06.g250450	g2080
g1173	JG24_g8995	Mal24_g9480	Cre06.g250350	g2079
g1172	JG24_g8996	Mal24_g9481	Cre06.g250300	g2078
g1171	JG24_g8997	Mal24_g9482	Cre06.g250250	g2077
g1170	JG24_g8998	Mal24_g9483	Cre06.g250200	g2076
g1169	JG24_g8999	Mal24_g9484	Cre06.g250100	g2075
g1163	JG24_g9004	Mal24_g9489	Cre06.g249800	g2070
g1155	JG24_g9010	Mal24_g9498	Cre06.g249300	g2059
g1154	JG24_g9011	Mal24_g9499	Cre06.g249250	g2058
g1152	JG24_g9013	Mal24_g9501	Cre06.g249150	g2056
g1151	JG24_g9014	Mal24_g9502	Cre06.g248900	g2055
g1150	JG24_g9015	Mal24_g9503	Cre06.g248950	g2054
g1149	JG24_g9016	Mal24_g9504	Cre06.g249050	g2053
g1146	JG24_g9018	Mal24_g9506	Cre06.g248800	g2051
g1145	JG24_g9019	Mal24_g9507	Cre06.g248750	g2050
g2360	JG24_g9094	Mal24_g16741	Cre17.g734612	g9698
g2361	JG24_g9095	Mal24_g16740	Cre17.g734628	g9700
g2362	JG24_g9096	Mal24_g16739	Cre17.g734644	g9699
g2378	JG24_g9098	Mal24_g16744	Cre02.g142166	g7
g15747	JG24_g9099	Mal24_g16760	Cre02.g142126	g9
g15748	JG24_g9100	Mal24_g16766	Cre02.g142146	g8
g15726	JG24_g9101	Mal24_g16745	Cre02.g142266	g9917
g15729	JG24_g9104	Mal24_g16749	Cre02.g142206	g9915
g2355	JG24_g9107	Mal24_g16743	Cre17.g734548	g9695
g2363	JG24_g9123	Mal24_g16738	Cre17.g734516	g9694
g2364	JG24_g9124	Mal24_g16737	Cre17.g734500	g9688
g2365	JG24_g9125	Mal24_g16736	Cre17.g734450	g9689
g2367	JG24_g9126	Mal24_g16735	Cre17.g734400	g9690
g2370	JG24_g9139	Mal24_g16726	Cre17.g734300	g8092
g2371	JG24_g9146	Mal24_g16725	Cre17.g734200	g8083
g2373	JG24_g9148	Mal24_g16723	Cre17.g734100	g8071
g2377	JG24_g9155	Mal24_g16717	Cre17.g733650	g8066
g16429	JG24_g9180	Mal24_g13503	Cre03.g144967	g10826
g16441	JG24_g9192	Mal24_g13490	Cre03.g145387	g10841
g16447	JG24_g9198	Mal24_g13485	Cre03.g145507	g10847
g16449	JG24_g9200	Mal24_g13483	Cre03.g145547	g10850
g16451	JG24_g9202	Mal24_g13481	Cre03.g145587	g10852
g16452	JG24_g9203	Mal24_g13480	Cre03.g145607	g10853
g16455	JG24_g9206	Mal24_g13477	Cre03.g145687	g10856
g16456	JG24_g9207	Mal24_g13476	Cre03.g145667	g10857
g16457	JG24_g9208	Mal24_g13475	Cre03.g145727	g10858
g16458	JG24_g9209	Mal24_g13474	Cre03.g145747	g10859
g16461	JG24_g9213	Mal24_g13470	Cre03.g145827	g10862
g16466	JG24_g9216	Mal24_g13466	Cre03.g145887	g10865
g16467	JG24_g9217	Mal24_g13465	Cre03.g145907	g10866
g16475	JG24_g9227	Mal24_g13455	Cre03.g146127	g10874
g16476	JG24_g9228	Mal24_g13454	Cre03.g146147	g10875
g16477	JG24_g9229	Mal24_g13453	Cre03.g146167	g10876
g16478	JG24_g9230	Mal24_g13452	Cre03.g146187	g10877
g16480	JG24_g9231	Mal24_g13450	Cre03.g146207	g10878
g16482	JG24_g9233	Mal24_g13448	Cre03.g146247	g10880
g16483	JG24_g9234	Mal24_g13447	Cre03.g146267	g10881
g16485	JG24_g9236	Mal24_g13445	Cre03.g146447	g10883
g16486	JG24_g9237	Mal24_g13444	Cre03.g146467	g10884
g16487	JG24_g9238	Mal24_g13443	Cre03.g146487	g10885
g16488	JG24_g9239	Mal24_g13442	Cre03.g146507	g10886
g16489	JG24_g9240	Mal24_g13441	Cre03.g146527	g10887
g16491	JG24_g9242	Mal24_g13439	Cre03.g146587	g10890
g16494	JG24_g9245	Mal24_g13436	Cre03.g146667	g10892
g16495	JG24_g9246	Mal24_g13435	Cre03.g800288	g10894
g16496	JG24_g9247	Mal24_g13434	Cre03.g146687	g10895
g16513	JG24_g9272	Mal24_g13418	Cre03.g148350	g10924
g16518	JG24_g9277	Mal24_g13413	Cre03.g148700	g10929
g16519	JG24_g9278	Mal24_g13412	Cre03.g148750	g10930
g16520	JG24_g9279	Mal24_g13411	Cre03.g148800	g10931
g16523	JG24_g9282	Mal24_g13408	Cre03.g148950	g10934
g16526	JG24_g9284	Mal24_g13406	Cre03.g149050	g10936
g16527	JG24_g9285	Mal24_g13405	Cre03.g149100	g10937
g16538	JG24_g9298	Mal24_g13394	Cre03.g149650	g10949
g16539	JG24_g9299	Mal24_g13393	Cre03.g149700	g10950
g16541	JG24_g9301	Mal24_g13391	Cre03.g149800	g10952
g16546	JG24_g9304	Mal24_g13387	Cre03.g149950	g10956
g16550	JG24_g9308	Mal24_g13383	Cre03.g150200	g10960
g16554	JG24_g9310	Mal24_g13381	Cre03.g150300	g10962
g16559	JG24_g9313	Mal24_g13377	Cre03.g150450	g10965
g16561	JG24_g9316	Mal24_g13374	Cre03.g150600	g10967
g16564	JG24_g9317	Mal24_g13373	Cre03.g150650	g10968
g16578	JG24_g9324	Mal24_g13361	Cre03.g150950	g10980
g16579	JG24_g9325	Mal24_g13360	Cre03.g151000	g10981
g16580	JG24_g9326	Mal24_g13359	Cre03.g151100	g10983
g16582	JG24_g9328	Mal24_g13356	Cre03.g151200	g10985
g16583	JG24_g9329	Mal24_g13355	Cre03.g151250	g10986
g16587	JG24_g9333	Mal24_g13351	Cre03.g151500	g10991
g16591	JG24_g9336	Mal24_g13348	Cre03.g151650	g10994
g16592	JG24_g9337	Mal24_g13345	Cre03.g151700	g10995
g16593	JG24_g9338	Mal24_g13344	Cre03.g151750	g10996
g16594	JG24_g9339	Mal24_g13343	Cre03.g151800	g10997
g16600	JG24_g9345	Mal24_g13334	Cre03.g152200	g11004
g16602	JG24_g9347	Mal24_g13332	Cre03.g152300	g11007
g16612	JG24_g9365	Mal24_g13320	Cre03.g152800	g11019
g16613	JG24_g9366	Mal24_g13319	Cre03.g152850	g11020
g16614	JG24_g9367	Mal24_g13318	Cre03.g152900	g11021
g16618	JG24_g9371	Mal24_g13313	Cre03.g153100	g11025
g16627	JG24_g9380	Mal24_g13301	Cre03.g153450	g11029
g16628	JG24_g9381	Mal24_g13300	Cre03.g153500	g11030
g16631	JG24_g9384	Mal24_g13297	Cre03.g153650	g11034
g16632	JG24_g9385	Mal24_g13296	Cre03.g153700	g11035
g16637	JG24_g9389	Mal24_g13292	Cre03.g153900	g11039
g16640	JG24_g9391	Mal24_g13291	Cre03.g154050	g11041
g16644	JG24_g9394	Mal24_g13288	Cre03.g154250	g11056
g16645	JG24_g9395	Mal24_g13287	Cre03.g154300	g11057
g16646	JG24_g9396	Mal24_g13286	Cre03.g154350	g11058
g16649	JG24_g9399	Mal24_g13283	Cre03.g154425	g11061
g16651	JG24_g9401	Mal24_g13281	Cre03.g154550	g11063
g16652	JG24_g9402	Mal24_g13280	Cre03.g154600	g11064
g16656	JG24_g9408	Mal24_g13275	Cre03.g154850	g11069
g16659	JG24_g9416	Mal24_g13271	Cre03.g155001	g11073
g16661	JG24_g9418	Mal24_g13269	Cre03.g155051	g11075
g16663	JG24_g9420	Mal24_g13267	Cre03.g155200	g11077
g16669	JG24_g9430	Mal24_g13259	Cre03.g155501	g11083
g16672	JG24_g9433	Mal24_g13256	Cre03.g155600	g11086
g16677	JG24_g9434	Mal24_g13255	Cre03.g155650	g11087
g16678	JG24_g9435	Mal24_g13254	Cre03.g155700	g11088
g16680	JG24_g9437	Mal24_g13250	Cre03.g155800	g11090
g16681	JG24_g9438	Mal24_g13249	Cre03.g155850	g11091
g16684	JG24_g9444	Mal24_g13245	Cre03.g156050	g11097
g16688	JG24_g9448	Mal24_g13241	Cre03.g156250	g11101
g16689	JG24_g9449	Mal24_g13240	Cre03.g156300	g11102
g16696	JG24_g9454	Mal24_g13235	Cre03.g156600	g11107
g16701	JG24_g9457	Mal24_g13232	Cre03.g156750	g11109
g16704	JG24_g9460	Mal24_g13229	Cre03.g156900	g11111
g16705	JG24_g9461	Mal24_g13227	Cre03.g156950	g11112
g16706	JG24_g9462	Mal24_g13226	Cre03.g157000	g11113
g16715	JG24_g9466	Mal24_g13216	Cre03.g157200	g11119
g16713	JG24_g9468	Mal24_g13218	Cre03.g157300	g11124
g16719	JG24_g9473	Mal24_g13213	Cre03.g157700	g11129
g16721	JG24_g9474	Mal24_g13212	Cre03.g157800	g11130
g16722	JG24_g9476	Mal24_g13210	Cre03.g157900	g11131
g16723	JG24_g9477	Mal24_g13209	Cre03.g157950	g11132
g16724	JG24_g9478	Mal24_g13208	Cre03.g158000	g11133
g16726	JG24_g9480	Mal24_g13206	Cre03.g158100	g11135
g16729	JG24_g9483	Mal24_g13203	Cre03.g158250	g11138
g16731	JG24_g9486	Mal24_g13198	Cre03.g158350	g11141
g16732	JG24_g9487	Mal24_g13197	Cre03.g158400	g11142
g16735	JG24_g9490	Mal24_g13195	Cre03.g158500	g11145
g16740	JG24_g9496	Mal24_g13191	Cre03.g158600	g11151
g16742	JG24_g9498	Mal24_g13189	Cre03.g158750	g11154
g16743	JG24_g9499	Mal24_g13188	Cre03.g158800	g11155
g16745	JG24_g9501	Mal24_g13186	Cre03.g158900	g11157
g16746	JG24_g9502	Mal24_g13185	Cre03.g158950	g11158
g16749	JG24_g9506	Mal24_g13179	Cre03.g159100	g11161
g16751	JG24_g9508	Mal24_g13177	Cre03.g159200	g11167
g16753	JG24_g9510	Mal24_g13175	Cre03.g159300	g11169
g16757	JG24_g9514	Mal24_g13171	Cre03.g159400	g11172
g16759	JG24_g9516	Mal24_g13170	Cre03.g159500	g11173
g16761	JG24_g9521	Mal24_g13165	Cre03.g159650	g11176
g16762	JG24_g9522	Mal24_g13164	Cre03.g159700	g11177
g16764	JG24_g9524	Mal24_g13162	Cre03.g159800	g11179
g16765	JG24_g9525	Mal24_g13161	Cre03.g159851	g11180
g16766	JG24_g9526	Mal24_g13160	Cre03.g159900	g11181
g16767	JG24_g9528	Mal24_g13159	Cre03.g159950	g11182
g16769	JG24_g9530	Mal24_g13157	Cre03.g160050	g11184
g16770	JG24_g9531	Mal24_g13156	Cre03.g160100	g11185
g16771	JG24_g9532	Mal24_g13155	Cre03.g160200	g11186
g16773	JG24_g9534	Mal24_g13153	Cre03.g160300	g11188
g16775	JG24_g9538	Mal24_g13150	Cre03.g160400	g11190
g16776	JG24_g9539	Mal24_g13149	Cre03.g160450	g11191
g16777	JG24_g9540	Mal24_g13148	Cre03.g160500	g11192
g16778	JG24_g9541	Mal24_g13147	Cre03.g160550	g11193
g16783	JG24_g9547	Mal24_g13140	Cre03.g160800	g11198
g16788	JG24_g9554	Mal24_g13133	Cre03.g161050	g11203
g16795	JG24_g9560	Mal24_g13124	Cre03.g161400	g11209
g16796	JG24_g9561	Mal24_g13123	Cre03.g161450	g11210
g16797	JG24_g9562	Mal24_g13122	Cre03.g161500	g11211
g16798	JG24_g9563	Mal24_g13121	Cre03.g161550	g11212
g16800	JG24_g9565	Mal24_g13119	Cre03.g161606	g11214
g16802	JG24_g9567	Mal24_g13117	Cre03.g161750	g11218
g16804	JG24_g9571	Mal24_g13115	Cre03.g162000	g11220
g16805	JG24_g9572	Mal24_g13114	Cre03.g162050	g11221
g16806	JG24_g9573	Mal24_g13113	Cre03.g162100	g11222
g16809	JG24_g9579	Mal24_g13109	Cre03.g162300	g11226
g16818	JG24_g9585	Mal24_g13100	Cre03.g162400	g11228
g16815	JG24_g9588	Mal24_g13103	Cre03.g162550	g11232
g16814	JG24_g9589	Mal24_g13104	Cre03.g162601	g11234
g16813	JG24_g9590	Mal24_g13105	Cre03.g162650	g11235
g16827	JG24_g9592	Mal24_g13092	Cre03.g162750	g11237
g16825	JG24_g9594	Mal24_g13094	Cre03.g162850	g11242
g16823	JG24_g9597	Mal24_g13096	Cre03.g162950	g11244
g16822	JG24_g9598	Mal24_g13097	Cre03.g163000	g11245
g16845	JG24_g9631	Mal24_g13072	Cre03.g164000	g5707
g16846	JG24_g9632	Mal24_g13071	Cre03.g164050	g5706
g16847	JG24_g9633	Mal24_g13070	Cre03.g164101	g5705
g16848	JG24_g9634	Mal24_g13069	Cre03.g164150	g5704
g16849	JG24_g9635	Mal24_g13068	Cre03.g164200	g5703
g16851	JG24_g9637	Mal24_g13066	Cre03.g164300	g5701
g16852	JG24_g9638	Mal24_g13065	Cre03.g164350	g5700
g16856	JG24_g9642	Mal24_g13061	Cre03.g164550	g5696
g16858	JG24_g9643	Mal24_g13059	Cre03.g164600	g5695
g16860	JG24_g9645	Mal24_g13057	Cre03.g164700	g5693
g16861	JG24_g9646	Mal24_g13056	Cre03.g164900	g5692
g16863	JG24_g9648	Mal24_g13054	Cre03.g165000	g5690
g9104	JG24_g9652	Mal24_g7366	Cre09.g417150	g13763
g9111	JG24_g9653	Mal24_g7367	Cre09.g417200	g13762
g9112	JG24_g9654	Mal24_g7368	Cre09.g417250	g13761
g9073	JG24_g9661	Mal24_g7361	Cre09.g415450	g13780
g9072	JG24_g9664	Mal24_g7314	Cre09.g415500	g13781
g9070	JG24_g9666	Mal24_g7312	Cre09.g415600	g13783
g9063	JG24_g9669	Mal24_g7365	Cre09.g416350	g13778
g9062	JG24_g9670	Mal24_g7358	Cre09.g416400	g13777
g9059	JG24_g9671	Mal24_g7321	Cre09.g416500	g13775
g9057	JG24_g9672	Mal24_g7320	Cre09.g416550	g13774
g9054	JG24_g9675	Mal24_g7316	Cre09.g416800	g13769
g9042	JG24_g9676	Mal24_g7317	Cre09.g416750	g13770
g9045	JG24_g9679	Mal24_g7318	Cre09.g416650	g13773
g9056	JG24_g9681	Mal24_g7359	Cre09.g416950	g13766
g10262	JG24_g9688	Mal24_g7303	Cre09.g413800	g13835
g9075	JG24_g9689	Mal24_g7331	Cre09.g415700	g13788
g9078	JG24_g9690	Mal24_g7335	Cre09.g415750	g13789
g9079	JG24_g9691	Mal24_g7334	Cre09.g415800	g13790
g9080	JG24_g9692	Mal24_g7333	Cre09.g415850	g13791
g9081	JG24_g9693	Mal24_g7332	Cre09.g415900	g13792
g9084	JG24_g9694	Mal24_g7342	Cre09.g415950	g13793
g9088	JG24_g9698	Mal24_g7339	Cre09.g416050	g13795
g9090	JG24_g9700	Mal24_g7336	Cre09.g416150	g13797
g9089	JG24_g9701	Mal24_g7344	Cre09.g416200	g13798
g9099	JG24_g9702	Mal24_g7345	Cre09.g416250	g13799
g9040	JG24_g9714	Mal24_g7326	Cre09.g414200	g13822
g9039	JG24_g9715	Mal24_g7327	Cre09.g414250	g13823
g9038	JG24_g9725	Mal24_g7357	Cre09.g414000	g13829
g10254	JG24_g9726	Mal24_g7356	Cre09.g414050	g13828
g10260	JG24_g9736	Mal24_g7310	Cre09.g413850	g13832
g9067	JG24_g9737	Mal24_g7311	Cre09.g415650	g13786
g10263	JG24_g9740	Mal24_g7305	Cre09.g413750	g13836
g13434	JG24_g9741	Mal24_g6236	Cre12.g540076	g9918
g13433	JG24_g9742	Mal24_g6235	Cre12.g540927	g9919
g13431	JG24_g9744	Mal24_g6233	Cre12.g541777	g9922
g13430	JG24_g9745	Mal24_g6232	Cre12.g542202	g9923
g13428	JG24_g9747	Mal24_g6230	Cre12.g543052	g9925
g13424	JG24_g9750	Mal24_g6226	Cre12.g544752	g9929
g13423	JG24_g9752	Mal24_g6222	Cre12.g545177	g9930
g13407	JG24_g9760	Mal24_g6215	Cre12.g549427	g9938
g13406	JG24_g9761	Mal24_g6214	Cre12.g549852	g9939
g13404	JG24_g9763	Mal24_g6212	Cre12.g550702	g9941
g13398	JG24_g9770	Mal24_g6205	Cre12.g553678	g9947
g13397	JG24_g9771	Mal24_g6204	Cre12.g554103	g9948
g13395	JG24_g9777	Mal24_g6202	Cre12.g554953	g9954
g13392	JG24_g9780	Mal24_g6199	Cre12.g556228	g9958
g13374	JG24_g9809	Mal24_g6181	Cre12.g540400	g9987
g13373	JG24_g9810	Mal24_g6180	Cre12.g540450	g9988
g13372	JG24_g9811	Mal24_g6178	Cre12.g540500	g9989
g13364	JG24_g9820	Mal24_g6170	Cre12.g541100	g10001
g13363	JG24_g9821	Mal24_g6169	Cre12.g541150	g10002
g13362	JG24_g9822	Mal24_g6168	Cre12.g541250	g10003
g13359	JG24_g9825	Mal24_g6165	Cre12.g541400	g10006
g13358	JG24_g9826	Mal24_g6164	Cre12.g541450	g10007
g13354	JG24_g9829	Mal24_g6161	Cre12.g541550	g10010
g13353	JG24_g9830	Mal24_g6160	Cre12.g541600	g10011
g13346	JG24_g9837	Mal24_g6152	Cre12.g541800	g10016
g13344	JG24_g9839	Mal24_g6151	Cre12.g541850	g10019
g13342	JG24_g9841	Mal24_g6149	Cre12.g542000	g10021
g13341	JG24_g9846	Mal24_g6148	Cre12.g542100	g10022
g13335	JG24_g9851	Mal24_g6143	Cre12.g542300	g10025
g13334	JG24_g9852	Mal24_g6142	Cre12.g542350	g10026
g13332	JG24_g9854	Mal24_g6140	Cre12.g542450	g10027
g13331	JG24_g9855	Mal24_g6139	Cre12.g542500	g10028
g13321	JG24_g9863	Mal24_g6129	Cre12.g542800	g10036
g13320	JG24_g9864	Mal24_g6128	Cre12.g542850	g10037
g13309	JG24_g9879	Mal24_g6115	Cre12.g543350	g10048
g13307	JG24_g9881	Mal24_g6114	Cre12.g543450	g10050
g705	JG24_g9882	Mal24_g6113	Cre12.g543500	g10053
g706	JG24_g9883	Mal24_g6112	Cre12.g543550	g10054
g707	JG24_g9884	Mal24_g6111	Cre12.g543650	g10055
g708	JG24_g9886	Mal24_g6108	Cre12.g543800	g10058
g712	JG24_g9889	Mal24_g6104	Cre12.g544000	g10063
g713	JG24_g9890	Mal24_g6103	Cre12.g544050	g10064
g714	JG24_g9891	Mal24_g6102	Cre12.g544100	g10065
g715	JG24_g9892	Mal24_g6101	Cre12.g544150	g10066
g716	JG24_g9893	Mal24_g6100	Cre12.g544200	g10067
g722	JG24_g9899	Mal24_g6094	Cre12.g801487	g10073
g729	JG24_g9912	Mal24_g6087	Cre12.g544900	g10082
g732	JG24_g9919	Mal24_g6085	Cre12.g545000	g10086
g733	JG24_g9920	Mal24_g6083	Cre12.g545101	g10087
g738	JG24_g9931	Mal24_g6076	Cre12.g545550	g10092
g739	JG24_g9932	Mal24_g6075	Cre12.g545600	g10093
g741	JG24_g9940	Mal24_g6070	Cre12.g545850	g10095
g749	JG24_g9944	Mal24_g6065	Cre12.g546000	g10099
g748	JG24_g9945	Mal24_g6066	Cre12.g546050	g10100
g750	JG24_g9946	Mal24_g6060	Cre12.g546100	g10101
g752	JG24_g9948	Mal24_g6058	Cre12.g546200	g10102
g754	JG24_g9950	Mal24_g6056	Cre12.g546300	g10103
g755	JG24_g9951	Mal24_g6055	Cre12.g546350	g10104
g757	JG24_g9953	Mal24_g6053	Cre12.g546450	g10106
g759	JG24_g9955	Mal24_g6051	Cre12.g546550	g10108
g760	JG24_g9956	Mal24_g6050	Cre12.g546600	g10109
g762	JG24_g9958	Mal24_g6048	Cre12.g546650	g10110
g763	JG24_g9959	Mal24_g6047	Cre12.g546700	g10111
g770	JG24_g9966	Mal24_g6040	Cre12.g547000	g10118
g772	JG24_g9968	Mal24_g6038	Cre12.g547100	g10120
g773	JG24_g9970	Mal24_g6036	Cre12.g547150	g10122
g779	JG24_g9976	Mal24_g6030	Cre12.g547400	g10132
g783	JG24_g9980	Mal24_g6027	Cre12.g547500	g10135
g790	JG24_g9995	Mal24_g6014	Cre12.g547900	g10142
g791	JG24_g9996	Mal24_g6013	Cre12.g547950	g10143
g795	JG24_g10000	Mal24_g6009	Cre12.g548100	g10147
g800	JG24_g10005	Mal24_g6004	Cre12.g548350	g7391
g803	JG24_g10011	Mal24_g6001	Cre12.g548500	g10151
g806	JG24_g10014	Mal24_g5998	Cre12.g548650	g10154
g807	JG24_g10015	Mal24_g5997	Cre12.g548900	g10155
g809	JG24_g10019	Mal24_g5994	Cre12.g549000	g10157
g810	JG24_g10020	Mal24_g5993	Cre12.g549050	g10158
g811	JG24_g10021	Mal24_g5992	Cre12.g549100	g10159
g813	JG24_g10025	Mal24_g5990	Cre12.g549200	g10162
g815	JG24_g10029	Mal24_g5987	Cre12.g549300	g10164
g819	JG24_g10032	Mal24_g5983	Cre12.g549500	g10168
g13338	JG24_g10033	Mal24_g6144	Cre12.g542250	g10169
g823	JG24_g10036	Mal24_g5979	Cre12.g549700	g10172
g825	JG24_g10038	Mal24_g5976	Cre12.g549800	g10174
g831	JG24_g10042	Mal24_g5968	Cre12.g549950	g10177
g17122	JG24_g10050	Mal24_g11717	Cre10.g454800	g16446
g17118	JG24_g10053	Mal24_g11714	Cre10.g454650	g16449
g17128	JG24_g10061	Mal24_g11722	Cre10.g454200	g16452
g17129	JG24_g10063	Mal24_g11725	Cre10.g454250	g16453
g17134	JG24_g10067	Mal24_g11730	Cre10.g454450	g16457
g17133	JG24_g10068	Mal24_g11729	Cre10.g454550	g16458
g17140	JG24_g10072	Mal24_g11735	Cre10.g454150	g16460
g17144	JG24_g10073	Mal24_g11740	Cre10.g453900	g16466
g17141	JG24_g10076	Mal24_g11737	Cre10.g454100	g16462
g17146	JG24_g10078	Mal24_g11742	Cre10.g453807	g16471
g1674	JG24_g10080	Mal24_g16660	Cre12.g559000	g10776
g17148	JG24_g10082	Mal24_g11746	Cre10.g453600	g16474
g17151	JG24_g10085	Mal24_g11750	Cre10.g453450	g16481
g17157	JG24_g10096	Mal24_g11757	Cre10.g453100	g16486
g17158	JG24_g10097	Mal24_g11758	Cre10.g453050	g16487
g17159	JG24_g10098	Mal24_g11759	Cre10.g453000	g16489
g17160	JG24_g10099	Mal24_g11760	Cre10.g452950	g16490
g17163	JG24_g10102	Mal24_g11764	Cre10.g452800	g16493
g17165	JG24_g10104	Mal24_g11765	Cre10.g452750	g16494
g17169	JG24_g10109	Mal24_g11771	Cre10.g452450	g16499
g12581	JG24_g10116	Mal24_g11774	Cre10.g452350	g16503
g12577	JG24_g10121	Mal24_g11780	Cre10.g452100	g16508
g12576	JG24_g10123	Mal24_g11781	Cre10.g452050	g16509
g12574	JG24_g10125	Mal24_g11783	Cre10.g451950	g16511
g12573	JG24_g10126	Mal24_g11784	Cre10.g451900	g16512
g12562	JG24_g10134	Mal24_g11798	Cre17.g728100	g16521
g12563	JG24_g10135	Mal24_g11797	Cre17.g728150	g16522
g12561	JG24_g10140	Mal24_g11799	Cre17.g728300	g16525
g12560	JG24_g10141	Mal24_g11800	Cre17.g728350	g16526
g12556	JG24_g10143	Mal24_g11802	Cre17.g728450	g16528
g12553	JG24_g10149	Mal24_g11805	Cre17.g728600	g16531
g12552	JG24_g10150	Mal24_g11806	Cre17.g728650	g16532
g12549	JG24_g10154	Mal24_g11811	Cre17.g728750	g16537
g12548	JG24_g10155	Mal24_g11812	Cre17.g728800	g16538
g12544	JG24_g10157	Mal24_g11814	Cre17.g728900	g16541
g12535	JG24_g10164	Mal24_g11821	Cre17.g729200	g16548
g12532	JG24_g10167	Mal24_g11824	Cre17.g729450	g16551
g12524	JG24_g10174	Mal24_g11832	Cre17.g729800	g16559
g12523	JG24_g10175	Mal24_g11833	Cre17.g729850	g16560
g12522	JG24_g10176	Mal24_g11834	Cre17.g729900	g16561
g12515	JG24_g10179	Mal24_g11844	Cre17.g730000	g16576
g12510	JG24_g10183	Mal24_g11849	Cre17.g730200	g16580
g12509	JG24_g10184	Mal24_g11850	Cre17.g730250	g16581
g12505	JG24_g10191	Mal24_g11857	Cre17.g730600	g16584
g12503	JG24_g10194	Mal24_g11859	Cre17.g730700	g16586
g12500	JG24_g10199	Mal24_g11862	Cre17.g730950	g16589
g12496	JG24_g10202	Mal24_g11864	Cre17.g731050	g16591
g12495	JG24_g10203	Mal24_g11865	Cre17.g731100	g16592
g12494	JG24_g10204	Mal24_g11866	Cre17.g731150	g16593
g12493	JG24_g10205	Mal24_g11867	Cre17.g731200	g16594
g12492	JG24_g10206	Mal24_g11868	Cre17.g731250	g16595
g12491	JG24_g10207	Mal24_g11869	Cre17.g731300	g16596
