	CREN	CINC	CSCH	JG05	MALA
6459	Cre07.g324350	g16182	g10842	JG24_g4238	Mal24_g7652
6460	Cre07.g324400		g10843	JG24_g4239	Mal24_g7651
6461	Cre07.g324400		g10843	JG24_g7370	Mal24_g7651
6462	Cre07.g324450	g16180	g10844		
6463	Cre07.g324500	g16179	g10845	JG24_g4241	
6464	Cre07.g324550	g16178	g10846	JG24_g4242	Mal24_g7649
6465	Cre07.g324600	g16177	g10847	JG24_g4243	Mal24_g7648
6466	Cre07.g324650	g16176	g10848	JG24_g4244	Mal24_g7647
6467	Cre07.g324700	g16175	g10849	JG24_g4245	Mal24_g7646
6468	Cre07.g324750	g16174	g10850	JG24_g4246	Mal24_g7645
6469	Cre07.g324800	g16173	g10851	JG24_g4247	Mal24_g7644
6470	Cre07.g325000	g16171	g10854	JG24_g4249	Mal24_g7639
6471	Cre07.g325050	g16170	g10855	JG24_g4251	Mal24_g7638
6472	Cre07.g325050	g16170	g10855	JG24_g4251	Mal24_g8634
6473	Cre07.g325050	g16170	g7720	JG24_g4251	Mal24_g7638
6474	Cre07.g325050	g16170	g7720	JG24_g4251	Mal24_g8634
6475	Cre07.g325101	g16169	g10856	JG24_g4252	Mal24_g7637
6476	Cre07.g325150	g16168	g10857	JG24_g4253	Mal24_g7636
6477	Cre07.g325200	g16167		JG24_g4254	Mal24_g7635
6478	Cre07.g325250	g16166	g10858	JG24_g4255	Mal24_g7634
6479	Cre07.g325350	g16164	g10860	JG24_g4259	Mal24_g7632
6480	Cre07.g325400	g16163	g10861	JG24_g4260	Mal24_g7631
6481	Cre07.g325450	g16162	g10862	JG24_g4261	Mal24_g7630
6482	Cre07.g325500	g16161	g10863	JG24_g4263	Mal24_g7629
6483	Cre07.g325550	g16160	g10864	JG24_g4264	Mal24_g7628
6484	Cre07.g325600	g16159	g10865	JG24_g4265	Mal24_g7627
6485	Cre07.g325650			JG24_g4266	Mal24_g7626
6486	Cre07.g325700	g16100	g14071	JG24_g4325	Mal24_g7566
6487	Cre07.g325711	g16158	g10866	JG24_g4267	Mal24_g7625
6488	Cre07.g325712	g16156	g10868	JG24_g4269	Mal24_g7623
6489	Cre07.g325713	g16155	g10869	JG24_g4270	Mal24_g7622
6490	Cre07.g325714		g10870	JG24_g4271	Mal24_g7621
6491	Cre07.g325715	g16153	g10871	JG24_g4272	Mal24_g7620
6492	Cre07.g325716	g16152	g10872	JG24_g4273	Mal24_g7619
6493	Cre07.g325717	g16151	g10873	JG24_g4275	Mal24_g7617
6494	Cre07.g325718	g16150		JG24_g4277	
6495	Cre07.g325719		g10875		
6496	Cre07.g325720	g16148	g10876	JG24_g4279	Mal24_g7613
6497	Cre07.g325721		g10877	JG24_g4280	
6498	Cre07.g325722	g16144	g10878	JG24_g4281	Mal24_g7610
6499	Cre07.g325723	g16143	g10879	JG24_g4283	Mal24_g7609
6500	Cre07.g325724	g16142	g10880	JG24_g4284	Mal24_g7608
6501	Cre07.g325724	g16142	g10880	JG24_g4284	Mal24_g7608
6502	Cre07.g325725	g16141	g10881	JG24_g4285	Mal24_g7607
6503	Cre07.g325727	g16140	g10882	JG24_g4287	Mal24_g7605
6504	Cre07.g325728	g16139	g10883	JG24_g4288	Mal24_g7604
6505	Cre07.g325729	g16138	g10885	JG24_g4289	Mal24_g7602
6506	Cre07.g325730	g16137	g10886	JG24_g4290	Mal24_g7601
6507	Cre07.g325731	g16136	g10887	JG24_g4291	Mal24_g7600
6508	Cre07.g325732	g16135	g10888	JG24_g4292	Mal24_g7599
6509	Cre07.g325733	g16134	g10889	JG24_g4293	Mal24_g7598
6510	Cre07.g325734			JG24_g4294	Mal24_g7597
6511	Cre07.g325735	g16132	g10891	JG24_g4295	Mal24_g7596
6512	Cre07.g325736	g16131	g10892	JG24_g4296	Mal24_g7595
6513	Cre07.g325737		g2933	JG24_g879	
6514	Cre07.g325738	g16128	g10895	JG24_g4299	Mal24_g7592
6515	Cre07.g325740	g16125	g10898		Mal24_g7589
6516	Cre07.g325741			JG24_g4301	
6517	Cre07.g325742				Mal24_g4342
6518	Cre07.g325743		g10899	JG24_g4303	Mal24_g7588
6519	Cre07.g325744	g16123	g10900	JG24_g4304	Mal24_g7587
6520	Cre07.g325745	g16122	g10901	JG24_g4305	Mal24_g7586
6521	Cre07.g325746	g16121	g10902	JG24_g4306	Mal24_g7585
6522	Cre07.g325748	g16119	g10906	JG24_g4308	
6523	Cre07.g325748	g16119	g10906	JG24_g4310	
6524	Cre07.g325749	g16118	g10907	JG24_g4311	
6525	Cre07.g325751	g16117	g10908	JG24_g4312	Mal24_g7582
6526	Cre07.g325752		g10909		
6527	Cre07.g325754	g16115	g10912	JG24_g4315	Mal24_g7576
6528	Cre07.g325755	g16114	g10911	JG24_g4316	Mal24_g7579
6529	Cre07.g325756	g16113	g10910	JG24_g4317	Mal24_g7580
6530	Cre07.g325757		g12188	JG24_g17281	Mal24_g15329
6531	Cre07.g325759	g16110		JG24_g4322	Mal24_g7574
6532	Cre07.g325760	g16106	g14068	JG24_g4323	
6533	Cre07.g325761	g16104	g14069	JG24_g13181	Mal24_g7569
6534	Cre07.g325761	g16104	g14069	JG24_g4324	Mal24_g7569
6535	Cre07.g325761	g16105	g14069	JG24_g13181	Mal24_g7569
6536	Cre07.g325761	g16105	g14069	JG24_g4324	Mal24_g7569
6537	Cre07.g325762	g16099	g14072	JG24_g4326	Mal24_g7563
6538	Cre07.g325812	g16098		JG24_g4327	
6539	Cre07.g325850		g14073		
6540	Cre07.g325950	g16091	g14077	JG24_g4331	Mal24_g7560
6541	Cre07.g326010	g16090	g14078	JG24_g4333	Mal24_g7558
6542	Cre07.g326050	g16089		JG24_g4336	Mal24_g7555
6543	Cre07.g326100	g16088	g14083	JG24_g4335	Mal24_g7557
6544	Cre07.g326150	g16086	g14084	JG24_g4334	Mal24_g7556
6545	Cre07.g326200	g16085	g14088	JG24_g4337	Mal24_g7553
6546	Cre07.g326250			JG24_g4338	Mal24_g7552
6547	Cre07.g326300	g16083	g14090	JG24_g4339	Mal24_g7551
6548	Cre07.g326350	g16082	g14091	JG24_g4340	Mal24_g7550
6549	Cre07.g326400		g14092	JG24_g4341	Mal24_g7549
6550	Cre07.g326450	g16080	g14093	JG24_g4342	Mal24_g7548
6551	Cre07.g326500	g16079	g14094	JG24_g4343	Mal24_g7547
6552	Cre07.g326550	g7011		JG24_g4344	Mal24_g7546
6553	Cre07.g326550	g16078		JG24_g4344	Mal24_g7546
6554	Cre07.g326600	g16077	g270	JG24_g4345	Mal24_g7545
6555	Cre07.g326650	g16076	g264	JG24_g4346	Mal24_g7540
6556	Cre07.g326650	g16076	g264	JG24_g4346	Mal24_g7542
6557	Cre07.g326700			JG24_g16442	Mal24_g305
6558	Cre07.g326750	g16072	g263	JG24_g4351	Mal24_g7538
6559	Cre07.g326800	g16071	g261	JG24_g4353	Mal24_g7537
6560	Cre07.g326833	g16070	g260	JG24_g4355	Mal24_g7536
6561	Cre07.g326900	g16069	g259	JG24_g4356	Mal24_g7535
6562	Cre07.g326950	g16068	g258	JG24_g4357	Mal24_g7534
6563	Cre07.g327000	g16067	g257	JG24_g4358	Mal24_g7533
6564	Cre07.g327079	g16066	g256	JG24_g4360	Mal24_g7532
6565	Cre07.g327100	g16065	g255	JG24_g4361	Mal24_g7531
6566	Cre07.g327150	g16064	g254	JG24_g4362	Mal24_g7530
6567	Cre07.g327200		g253		Mal24_g7528
6568	Cre07.g327250	g16063			
6569	Cre07.g327300	g16062	g252	JG24_g4365	Mal24_g7525
6570	Cre07.g327350	g16061	g251	JG24_g4366	Mal24_g7524
6571	Cre07.g327400	g16060	g250	JG24_g4367	Mal24_g7523
6572	Cre07.g327450	g16059	g249	JG24_g4368	Mal24_g7522
6573	Cre07.g327500	g16058	g248	JG24_g4369	Mal24_g7521
6574	Cre07.g327550	g16057	g247		Mal24_g7520
6575	Cre07.g327600	g16056	g246		Mal24_g7519
6576	Cre07.g327650	g16053	g245	JG24_g4374	Mal24_g7518
6577	Cre07.g327687	g16051		JG24_g4375	Mal24_g7517
6578	Cre07.g327700		g242	JG24_g4376	Mal24_g7516
6579	Cre07.g327750		g241	JG24_g4380	Mal24_g10869
6580	Cre07.g327750		g241	JG24_g4380	Mal24_g7515
6581	Cre07.g327800			JG24_g4741	
6582	Cre07.g327850	g16048	g239	JG24_g4382	Mal24_g7513
6583	Cre07.g327900	g16047	g238	JG24_g4383	Mal24_g7512
6584	Cre07.g327950	g16046	g237	JG24_g4384	Mal24_g7511
6585	Cre07.g328000	g16045	g236	JG24_g4388	Mal24_g7510
6586	Cre07.g328050	g16044	g235	JG24_g4389	Mal24_g7509
6587	Cre07.g328075	g5637	g234	JG24_g4390	Mal24_g7508
6588	Cre07.g328075	g16043	g234	JG24_g4390	Mal24_g7508
6589	Cre07.g328150	g16042	g233	JG24_g4391	Mal24_g7505
6590	Cre07.g328200	g16041	g232	JG24_g4392	Mal24_g7504
6591	Cre07.g328226	g16040			Mal24_g7503
6592	Cre07.g328250	g16039	g231	JG24_g4394	
6593	Cre07.g328350	g16038	g229	JG24_g4395	Mal24_g7501
6594	Cre07.g328400	g16037	g228	JG24_g4396	Mal24_g7500
6595	Cre07.g328450		g227	JG24_g4397	
6596	Cre07.g328500	g16035			Mal24_g7498
6597	Cre07.g328550	g16034			Mal24_g7497
6598	Cre07.g328600	g16032	g225	JG24_g4399	Mal24_g7494
6599	Cre07.g328700	g16031	g224	JG24_g4400	Mal24_g7493
6600	Cre07.g328750	g16030	g223	JG24_g4401	Mal24_g7492
6601	Cre07.g328800	g16029	g222	JG24_g4402	Mal24_g7491
6602	Cre07.g328850	g16027	g221	JG24_g4403	Mal24_g7490
6603	Cre07.g328900	g16026	g220	JG24_g4404	Mal24_g7489
6604	Cre07.g328950	g16025	g219	JG24_g4405	Mal24_g16577
6605	Cre07.g328950	g16025	g219	JG24_g4405	Mal24_g7488
6606	Cre07.g329000	g16024	g218	JG24_g4406	Mal24_g7487
6607	Cre07.g329050	g16023		JG24_g4407	
6608	Cre07.g329100	g16022	g13622	JG24_g4408	
6609	Cre07.g329150	g16021	g216	JG24_g4409	Mal24_g7482
6610	Cre07.g329250			JG24_g4410	Mal24_g7481
6611	Cre07.g329277			JG24_g4411	
6612	Cre07.g329300	g16019	g214	JG24_g4412	Mal24_g7479
6613	Cre07.g329350	g16018	g209	JG24_g4414	Mal24_g7477
6614	Cre07.g329400	g16017	g208	JG24_g4415	Mal24_g7476
6615	Cre07.g329450		g207		
6616	Cre07.g329500	g16015	g206	JG24_g4417	Mal24_g7474
6617	Cre07.g329550			JG24_g4419	Mal24_g7472
6618	Cre07.g329550			JG24_g4422	Mal24_g7472
6619	Cre07.g329650	g16013	g204	JG24_g4425	Mal24_g7470
6620	Cre07.g329700	g6968	g13576	JG24_g17299	Mal24_g17270
6621	Cre07.g329750	g16010	g203	JG24_g4426	Mal24_g7469
6622	Cre07.g329800	g16009	g202	JG24_g4427	Mal24_g7468
6623	Cre07.g329850	g16008	g201	JG24_g4428	Mal24_g7467
6624	Cre07.g329861	g16007			
6625	Cre07.g329882	g16006	g199	JG24_g4431	Mal24_g7464
6626	Cre07.g329900	g16005	g197	JG24_g4432	Mal24_g7463
6627	Cre07.g329950	g12477	g5290	JG24_g13737	Mal24_g6884
6628	Cre07.g329950	g12477	g5290	JG24_g3737	Mal24_g6884
6629	Cre07.g330000			JG24_g1514	
6630	Cre07.g330050		g196	JG24_g4433	Mal24_g7462
6631	Cre07.g330100	g16003	g195	JG24_g4434	Mal24_g7461
6632	Cre07.g330150	g16002	g194	JG24_g4435	Mal24_g7460
6633	Cre07.g330200	g16001	g193	JG24_g4436	Mal24_g7459
6634	Cre07.g330250		g192		
6635	Cre07.g330300	g15999	g191	JG24_g4438	Mal24_g7457
6636	Cre07.g330350	g15998	g189	JG24_g4439	Mal24_g7455
6637	Cre07.g330400	g15997	g188	JG24_g4440	Mal24_g7454
6638	Cre07.g330450	g15994	g187	JG24_g4441	Mal24_g7449
6639	Cre07.g330500	g15993	g186	JG24_g4442	Mal24_g7448
6640	Cre07.g330550	g15992	g185	JG24_g4443	Mal24_g7447
6641	Cre07.g330600	g15991	g184	JG24_g4444	Mal24_g7446
6642	Cre07.g330650	g15990	g183	JG24_g4447	Mal24_g7445
6643	Cre07.g330700	g6152	g182	JG24_g4448	Mal24_g3739
6644	Cre07.g330700	g6152	g182	JG24_g4448	Mal24_g7444
6645	Cre07.g330700	g6152	g182	JG24_g590	Mal24_g3739
6646	Cre07.g330700	g6152	g182	JG24_g590	Mal24_g7444
6647	Cre07.g330700	g6152	g88	JG24_g4448	Mal24_g3739
6648	Cre07.g330700	g6152	g88	JG24_g4448	Mal24_g7444
6649	Cre07.g330700	g6152	g88	JG24_g590	Mal24_g3739
6650	Cre07.g330700	g6152	g88	JG24_g590	Mal24_g7444
6651	Cre07.g330700	g7170	g182	JG24_g4448	Mal24_g3739
6652	Cre07.g330700	g7170	g182	JG24_g4448	Mal24_g7444
6653	Cre07.g330700	g7170	g182	JG24_g590	Mal24_g3739
6654	Cre07.g330700	g7170	g182	JG24_g590	Mal24_g7444
6655	Cre07.g330700	g7170	g88	JG24_g4448	Mal24_g3739
6656	Cre07.g330700	g7170	g88	JG24_g4448	Mal24_g7444
6657	Cre07.g330700	g7170	g88	JG24_g590	Mal24_g3739
6658	Cre07.g330700	g7170	g88	JG24_g590	Mal24_g7444
6659	Cre07.g330700	g15989	g182	JG24_g4448	Mal24_g3739
6660	Cre07.g330700	g15989	g182	JG24_g4448	Mal24_g7444
6661	Cre07.g330700	g15989	g182	JG24_g590	Mal24_g3739
6662	Cre07.g330700	g15989	g182	JG24_g590	Mal24_g7444
6663	Cre07.g330700	g15989	g88	JG24_g4448	Mal24_g3739
6664	Cre07.g330700	g15989	g88	JG24_g4448	Mal24_g7444
6665	Cre07.g330700	g15989	g88	JG24_g590	Mal24_g3739
6666	Cre07.g330700	g15989	g88	JG24_g590	Mal24_g7444
6667	Cre07.g330750	g15987	g181	JG24_g4449	
6668	Cre07.g330750	g15987	g211	JG24_g4449	
6669	Cre07.g330800	g15986	g180	JG24_g4450	Mal24_g7443
6670	Cre07.g330850	g15985	g179	JG24_g4454	Mal24_g7442
6671	Cre07.g330900	g15984		JG24_g4455	Mal24_g7441
6672	Cre07.g330950	g15983	g177	JG24_g4456	Mal24_g7440
6673	Cre07.g331000	g15982	g176	JG24_g4457	Mal24_g7439
6674	Cre07.g331050	g15981	g175	JG24_g4458	Mal24_g7438
6675	Cre07.g331100	g15977	g173	JG24_g4460	Mal24_g7436
6676	Cre07.g331150			JG24_g4461	
6677	Cre07.g331200	g15975	g167	JG24_g4462	Mal24_g7434
6678	Cre07.g331250		g166	JG24_g4463	Mal24_g7433
6679	Cre07.g331300			JG24_g4464	Mal24_g7428
6680	Cre07.g331450	g15969			Mal24_g7425
6681	Cre07.g331475		g163	JG24_g4468	
6682	Cre07.g331500	g15968	g162	JG24_g4469	Mal24_g7424
6683	Cre07.g331550	g15967	g161	JG24_g4470	Mal24_g7423
6684	Cre07.g331650	g15966	g160	JG24_g4471	Mal24_g7421
6685	Cre07.g331650	g15966	g4898	JG24_g4471	Mal24_g7421
6686	Cre07.g331700	g15965	g159	JG24_g4472	
6687	Cre07.g331750		g158	JG24_g4473	Mal24_g7419
6688	Cre07.g331800		g157	JG24_g4474	Mal24_g7418
6689	Cre07.g331850	g15960	g156	JG24_g4475	Mal24_g7417
6690	Cre07.g331900	g15959	g155	JG24_g4476	Mal24_g7416
6691	Cre07.g331962	g15958	g154	JG24_g4478	Mal24_g7414
6692	Cre07.g332050	g13865	g10630	JG24_g7899	Mal24_g9519
6693	Cre07.g332050	g13865	g1587	JG24_g7899	Mal24_g9519
6694	Cre07.g332100	g15957	g153	JG24_g4479	Mal24_g7410
6695	Cre07.g332100	g15957	g153	JG24_g4482	Mal24_g7410
6696	Cre07.g332100	g15957	g153	JG24_g4484	Mal24_g7410
6697	Cre07.g332150		g152	JG24_g4480	Mal24_g7412
6698	Cre07.g332250	g15954		JG24_g13716	Mal24_g7408
6699	Cre07.g332250	g15954		JG24_g4485	Mal24_g7408
6700	Cre07.g332300	g15953	g148	JG24_g4486	Mal24_g7407
6701	Cre07.g332400	g15144	g12927	JG24_g18113	Mal24_g1669
6702	Cre07.g332450	g15951	g141	JG24_g4492	Mal24_g7401
6703	Cre07.g332500	g15950	g142	JG24_g4493	Mal24_g7402
6704	Cre07.g332550	g15949	g143		
6705	Cre07.g332600	g15948			
6706	Cre07.g332650	g15947	g145	JG24_g4495	Mal24_g7404
6707	Cre07.g332700	g15946	g138	JG24_g4499	Mal24_g7399
6708	Cre07.g332750	g15945	g137	JG24_g4500	Mal24_g7398
6709	Cre07.g332786	g15944	g136	JG24_g4501	Mal24_g7397
6710	Cre07.g332800	g15943	g135	JG24_g4502	Mal24_g7396
6711	Cre07.g332901	g15940	g134	JG24_g4503	
6712	Cre07.g332950	g15939	g133	JG24_g4504	Mal24_g7393
6713	Cre07.g333000	g15938		JG24_g4505	Mal24_g7391
6714	Cre07.g333050	g15936	g129	JG24_g4507	Mal24_g7387
6715	Cre07.g333100			JG24_g4508	
6716	Cre07.g333150	g15935	g127	JG24_g4509	Mal24_g6361
6717	Cre07.g333150	g15935	g127	JG24_g4509	Mal24_g7385
6718	Cre07.g333400	g15934	g126	JG24_g4510	Mal24_g7384
6719	Cre07.g333450	g15933	g125		Mal24_g7383
6720	Cre07.g333500	g15932			Mal24_g7382
6721	Cre07.g333535	g15930	g123	JG24_g19595	Mal24_g7380
6722	Cre07.g333900	g10586	g10334	JG24_g11802	Mal24_g10044
6723	Cre07.g333950	g10585	g10336	JG24_g11800	Mal24_g10043
6724	Cre07.g334025			JG24_g11796	Mal24_g10038
6725	Cre07.g334100	g10581	g4380		Mal24_g10037
6726	Cre07.g334150	g10580			
6727	Cre07.g334200	g10579	g4378	JG24_g11794	Mal24_g10036
6728	Cre07.g334250	g10578	g4377	JG24_g11793	Mal24_g10035
6729	Cre07.g334300	g10577	g4374	JG24_g11790	Mal24_g10033
6730	Cre07.g334350	g10576	g4373	JG24_g11789	Mal24_g10029
6731	Cre07.g334400			JG24_g11788	Mal24_g10027
6732	Cre07.g334450	g10575	g4371	JG24_g11787	Mal24_g10026
6733	Cre07.g334550	g10573	g4370	JG24_g11786	Mal24_g10025
6734	Cre07.g334575	g10572	g4368	JG24_g11785	
6735	Cre07.g334600	g10571	g4367	JG24_g11784	Mal24_g10023
6736	Cre07.g334650	g10570	g4366	JG24_g11783	Mal24_g10022
6737	Cre07.g334700	g10569	g4365	JG24_g11782	Mal24_g10021
6738	Cre07.g334750	g10568	g4364	JG24_g11780	Mal24_g10020
6739	Cre07.g334800	g10567	g4363	JG24_g11779	Mal24_g10019
6740	Cre07.g334900	g10565	g16502	JG24_g11777	Mal24_g10017
6741	Cre07.g334900	g10565	g16502	JG24_g11777	Mal24_g13430
6742	Cre07.g334900	g10565	g4361	JG24_g11777	Mal24_g10017
6743	Cre07.g334900	g10565	g4361	JG24_g11777	Mal24_g13430
6744	Cre07.g334950	g10563	g4359	JG24_g11775	Mal24_g10015
6745	Cre07.g335000	g10562		JG24_g11774	
6746	Cre07.g335050	g10561	g4354	JG24_g11773	
6747	Cre07.g335100	g10559	g7598	JG24_g11771	Mal24_g10012
6748	Cre07.g335150	g10558	g4351	JG24_g11770	Mal24_g10011
6749	Cre07.g335200	g10557	g4350	JG24_g11769	Mal24_g10010
6750	Cre07.g335300	g10554	g4346	JG24_g11765	Mal24_g10008
6751	Cre07.g335400	g10552	g4344	JG24_g11763	Mal24_g10006
6752	Cre07.g335500	g10551		JG24_g11764	Mal24_g10007
6753	Cre07.g335500	g10553		JG24_g11764	Mal24_g10007
6754	Cre07.g335550	g10550	g4342	JG24_g11762	Mal24_g10004
6755	Cre07.g335600	g10549	g4341	JG24_g11761	Mal24_g10003
6756	Cre07.g335650	g10547	g4340		Mal24_g10001
6757	Cre07.g335700	g10546	g4338	JG24_g11759	Mal24_g10000
6758	Cre07.g335750	g10545	g4337	JG24_g11757	Mal24_g9999
6759	Cre07.g335800	g10544	g4336	JG24_g11756	Mal24_g9998
6760	Cre07.g335850	g10543	g4335	JG24_g11755	Mal24_g9997
6761	Cre07.g335900	g10542	g4334	JG24_g11754	Mal24_g9996
6762	Cre07.g336000		g4332	JG24_g11750	Mal24_g9994
6763	Cre07.g336050	g10541	g4331	JG24_g11749	Mal24_g9993
6764	Cre07.g336100	g10540	g4330	JG24_g11748	Mal24_g9992
6765	Cre07.g336200	g10538	g4323	JG24_g11738	Mal24_g9990
6766	Cre07.g336250	g10536	g4324	JG24_g11739	Mal24_g9989
6767	Cre07.g336300				Mal24_g12212
6768	Cre07.g336350	g10535		JG24_g11740	Mal24_g9988
6769	Cre07.g336400	g10534	g4326	JG24_g11741	Mal24_g9987
6770	Cre07.g336450	g10533	g4327	JG24_g11742	Mal24_g9986
6771	Cre07.g336500	g10532	g4328	JG24_g11743	Mal24_g9985
6772	Cre07.g336550			JG24_g11747	
6773	Cre07.g336600	g10530	g4320	JG24_g11736	Mal24_g9983
6774	Cre07.g336650	g10525	g4318	JG24_g11735	Mal24_g9982
6775	Cre07.g336700		g4317		
6776	Cre07.g336750	g10523	g4316	JG24_g11733	Mal24_g9980
6777	Cre07.g336850			JG24_g11732	Mal24_g9979
6778	Cre07.g336900			JG24_g11731	Mal24_g9978
6779	Cre07.g336950	g10520	g4313	JG24_g11730	Mal24_g9977
6780	Cre07.g337000	g10519	g4312	JG24_g11729	Mal24_g9976
6781	Cre07.g337050	g10518	g4311		Mal24_g9975
6782	Cre07.g337100	g10516	g4309	JG24_g11725	Mal24_g9974
6783	Cre07.g337125		g4308	JG24_g11724	Mal24_g9973
6784	Cre07.g337150	g10514	g4307	JG24_g11723	Mal24_g9972
6785	Cre07.g337200	g1680		JG24_g7129	
6786	Cre07.g337300	g10512	g4304	JG24_g11720	Mal24_g9970
6787	Cre07.g337350	g10511	g4303	JG24_g11719	Mal24_g9969
6788	Cre07.g337400			JG24_g11718	Mal24_g9968
6789	Cre07.g337450	g10510		JG24_g11717	
6790	Cre07.g337505	g10509		JG24_g11714	Mal24_g9967
6791	Cre07.g337516	g10507	g4301		Mal24_g9966
6792	Cre07.g337582	g10506	g4300	JG24_g11712	Mal24_g9965
6793	Cre07.g337650	g10505	g4295	JG24_g11711	Mal24_g9963
6794	Cre07.g337700	g10504	g4294	JG24_g11710	Mal24_g9960
6795	Cre07.g337750	g10503	g4293	JG24_g11709	Mal24_g9959
6796	Cre07.g337800	g10502	g4292	JG24_g11708	Mal24_g9958
6797	Cre07.g337850	g10501	g4291	JG24_g11707	Mal24_g9957
6798	Cre07.g337900		g4290		
6799	Cre07.g337914			JG24_g11706	
6800	Cre07.g337933	g10499			
6801	Cre07.g338000	g10495	g4286	JG24_g11704	Mal24_g9956
6802	Cre07.g338050	g10494	g4285	JG24_g11703	Mal24_g9955
6803	Cre07.g338100			JG24_g11702	
6804	Cre07.g338150	g10493	g4283	JG24_g11701	
6805	Cre07.g338200	g10492	g4282	JG24_g11700	
6806	Cre07.g338250	g10491	g4281	JG24_g11699	Mal24_g9952
6807	Cre07.g338300	g10489	g4279	JG24_g11698	Mal24_g9951
6808	Cre07.g338350	g10488	g4278	JG24_g11697	Mal24_g9950
6809	Cre07.g338400	g10487	g4277	JG24_g11696	
6810	Cre07.g338451	g10486	g4276	JG24_g11695	
6811	Cre07.g338500			JG24_g16317	
6812	Cre07.g338550	g10482	g4275	JG24_g11694	Mal24_g14608
6813	Cre07.g338550	g10482	g4275	JG24_g11694	Mal24_g9948
6814	Cre07.g338602	g10481	g9494	JG24_g11693	Mal24_g9947
6815	Cre07.g338650				Mal24_g11261
6816	Cre07.g338665				Mal24_g16885
6817	Cre07.g338800			JG24_g11690	
6818	Cre07.g338900	g10478	g9493	JG24_g11687	Mal24_g9942
6819	Cre07.g338950	g10477	g9492	JG24_g11686	Mal24_g9941
6820	Cre07.g339000	g13069	g3483	JG24_g11685	Mal24_g10936
6821	Cre07.g339000	g13069	g3483	JG24_g11685	Mal24_g9940
6822	Cre07.g339000	g13069	g9491	JG24_g11685	Mal24_g10936
6823	Cre07.g339000	g13069	g9491	JG24_g11685	Mal24_g9940
6824	Cre07.g339000	g10476	g3483	JG24_g11685	Mal24_g10936
6825	Cre07.g339000	g10476	g3483	JG24_g11685	Mal24_g9940
6826	Cre07.g339000	g10476	g9491	JG24_g11685	Mal24_g10936
6827	Cre07.g339000	g10476	g9491	JG24_g11685	Mal24_g9940
6828	Cre07.g339050	g10475	g9490	JG24_g11684	Mal24_g9939
6829	Cre07.g339100	g10474	g9489	JG24_g11683	Mal24_g9938
6830	Cre07.g339104	g10472		JG24_g11681	Mal24_g3390
6831	Cre07.g339104	g10472		JG24_g11681	Mal24_g9937
6832	Cre07.g339104	g10472		JG24_g11681	Mal24_g3390
6833	Cre07.g339104	g10472		JG24_g11681	Mal24_g9937
6834	Cre07.g339150	g10470		JG24_g11676	Mal24_g9936
6835	Cre07.g339200		g9485	JG24_g11675	Mal24_g9935
6836	Cre07.g339250	g10466	g9484	JG24_g11674	Mal24_g9934
6837	Cre07.g339300	g10465	g9483	JG24_g11673	
6838	Cre07.g339350	g10464	g9482	JG24_g11672	Mal24_g9932
6839	Cre07.g339400	g10463	g9481	JG24_g11671	Mal24_g9930
6840	Cre07.g339450	g10462		JG24_g11670	Mal24_g9929
6841	Cre07.g339500	g10461	g9479	JG24_g11669	Mal24_g9928
6842	Cre07.g339554	g10460	g9478	JG24_g11668	Mal24_g9926
6843	Cre07.g339600		g9477	JG24_g11665	Mal24_g9925
6844	Cre07.g339633	g10455	g9476		Mal24_g9924
6845	Cre07.g339700	g10454	g9475	JG24_g11663	Mal24_g9923
6846	Cre07.g339750	g10453	g9474	JG24_g11662	Mal24_g9922
6847	Cre07.g339750	g10453	g9474	JG24_g11662	Mal24_g9922
6848	Cre07.g339850	g10451			
6849	Cre07.g339900	g10439		JG24_g11660	Mal24_g9915
6850	Cre07.g339950	g7053	g14587	JG24_g12794	
6851	Cre07.g340000	g10440	g9468	JG24_g11655	Mal24_g9916
6852	Cre07.g340050	g10441	g9469	JG24_g11656	Mal24_g9917
6853	Cre07.g340100	g10442	g9470	JG24_g11657	Mal24_g9918
6854	Cre07.g340150		g9471	JG24_g11658	Mal24_g9919
6855	Cre07.g340200	g10444	g9472	JG24_g11659	Mal24_g9920
6856	Cre07.g340250				Mal24_g9914
6857	Cre07.g340300	g9437			
6858	Cre07.g340350	g10437	g9466	JG24_g11653	Mal24_g9912
6859	Cre07.g340400	g10436	g9465	JG24_g11652	Mal24_g9911
6860	Cre07.g340450	g10435	g9464	JG24_g11651	Mal24_g9910
6861	Cre07.g340550	g10434	g9463	JG24_g11650	Mal24_g9908
6862	Cre07.g340600	g10433	g9462	JG24_g11649	Mal24_g9907
6863	Cre07.g340650	g10432	g9460	JG24_g11647	Mal24_g16233
6864	Cre07.g340650	g10432	g9460	JG24_g11647	Mal24_g9905
6865	Cre07.g340650	g10432	g9460	JG24_g1816	Mal24_g16233
6866	Cre07.g340650	g10432	g9460	JG24_g1816	Mal24_g9905
6867	Cre07.g340700		g9459		Mal24_g9904
6868	Cre07.g340750	g10430	g9458	JG24_g11645	Mal24_g9903
6869	Cre07.g340850	g10383	g9421	JG24_g11592	Mal24_g9850
6870	Cre07.g340950	g10385	g9423	JG24_g11594	Mal24_g9852
6871	Cre07.g341100			JG24_g2515	
6872	Cre07.g341150		g9424	JG24_g11595	
6873	Cre07.g341250	g10391	g9425	JG24_g11598	Mal24_g9858
6874	Cre07.g341251	g10390		JG24_g11587	Mal24_g9844
